tweet_id,user_id,created_at,text,hashtags,retweetcount,retweeter_ids
1659771867979472896,1240231231230373889,2023-05-20 04:03:45+00:00,รอบ 3 มีใครติดเกาหลีมมสบ้างคะ🥹 #ทีมมมส #เกาหลีมมส #dek66,"ทีมมมส,เกาหลีมมส,dek66",0,
1659771869049032705,1564940076857311232,2023-05-20 04:03:45+00:00,อยากรู้คะแนนมนุษย์มช สาขา ไทย ท่องเที่ยว ปรัชญา เยอรมันค่ะ ได้เท่าไหร่กันบ้างคะ 🥹 #dek66,dek66,0,
1659771867815899138,1079400703544549377,2023-05-20 04:03:45+00:00,"🎉ขอแสดงความยินดีกับน้องๆ dek66 ทุกคนที่ติดคณะทันตะ จุฬา🥳

รบกวนน้องๆ ทุกคนที่ยืนยันสิทธิ์แล้ว สแกน QR code กรอกแบบฟ… https://t.co/5tnLII9Q3E",,2,"809788904190537728,1153666060844822529,1177504439302672384"
1659771864997330946,1106894530605805569,2023-05-20 04:03:44+00:00,สาว lic เมคเฟรนด์ได้นะคะ #dek66 https://t.co/eXPEL6iJCD,dek66,0,
1659771866909925378,1476592383118635008,2023-05-20 04:03:44+00:00,มีใครติดเกษตรละอยู่ต่างจังหวัดไม่เอาเเน่ๆไหมคะ เรารอประมวลผลรอบ2ไปอยากติดเกษตรอะแงงงงงง #Dek66 https://t.co/eAiox5UTKC,Dek66,0,
1659771863156015104,1030774645841059840,2023-05-20 04:03:43+00:00,ประมวลผลรอบ2 ติด จุฬา มธ. แจก500/1คนค่ะ รีไปเลย หนูบ่ยอม !! #dek66,dek66,2,"274082001,1524069749680132096,1176125065340936192"
1659771851470675969,1526820460406915072,2023-05-20 04:03:41+00:00,นิติจุฬาเมคเฟรนกันน 🥹 #นิติจุฬา #dek66 https://t.co/Jl67Gd5t34,"นิติจุฬา,dek66",0,"1604370054434340864,1455322234621284355,1387208975142121472"
1659771842738139137,1618519533744185344,2023-05-20 04:03:39+00:00,คนตบมุขเก่งๆนี่สเปคเลย อย่างสีเหียว #กูไม่เอาพรรคใหม่ #dek66 #พรรคก้าวไกล #พิธาลิ้มเจริญรัตน์ #ม112 #TCAS66 https://t.co/Bh5HKK4U5F,"กูไม่เอาพรรคใหม่,dek66,พรรคก้าวไกล,พิธาลิ้มเจริญรัตน์,ม112,TCAS66",0,
1659771838745161728,1370999867791699969,2023-05-20 04:03:38+00:00,ใครติดเภสัช มธ.นอกกสพท.มั้ยคับ เราอยากรู้คะแนนๆ เดมมาก็ได้คับ 😭 #dek66,dek66,0,
1659771839701450752,1328569339574816768,2023-05-20 04:03:38+00:00,สำหรับใครที่เคยกรอกTCAS Ranking ของMonkeyEverydayไว้และผลออกมาตรงกับคณะและมหาลัยที่เว็บคำนวณไว้มาแชร์ผลTCASจริงแล้ว… https://t.co/seaaMPRxb9,,0,
